Data Model,Event Type,Field Group,Title,Data Type,Consistency,Required,Notes,Description
Clinical Summary,PatientQueryResponse,Meta,Meta.Logs[].AttemptID,String,1,false,"UUID","Identifies the request log attempt value, which is useful when retries are possible."
Clinical Summary,PatientQueryResponse,Meta,Meta.FacilityCode,String,3,false,"Only use this field if a health system indicates you should. The code is specific to the health system's EHR and might not be unique across health systems. In general, the facility fields within the data models (e.g. OrderingFacility) are more reliable and informative.","Code for the facility related to the message."
Clinical Summary,PatientQueryResponse,Header,Header.Document,Object,1,false,"","An object containing metadata about the document being pushed to the destination."
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.ID,String,1,false,"This ID is often required for Inpatient Visits.","ID of the Provider responsible for the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.IDType,String,1,false,"","ID type of the ID for the Provider responsible for the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.FirstName,String,3,false,"","First name of the Provider responsible for the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.LastName,String,3,false,"","Last name of the Provider responsible for the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Credentials[],Array of Strings,3,false,"e.g. MD, PhD","List of credentials for the Provider responsible for the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Address,Object,3,false,"","Provider's address"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Address.StreetAddress,String,3,false,"","Street address"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Address.City,String,3,false,"","City"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Address.State,String,3,false,"","State"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Address.ZIP,String,3,false,"","ZIP"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Address.County,String,3,false,"","County"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Address.Country,String,3,false,"","Country"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.EmailAddresses[],Array of Strings,2,false,"","Provider's email address(es)"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.PhoneNumber.Office,String,3,false,"In E. 164 Format. (e.g. +16085551234)","Provider's office phone number"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Type,String,1,false,"","The type of Provider responsible for the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location,Object,3,false,"","Provider's location"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.Department,String,3,false,"","Department"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Author.Location.Room,String,3,false,"Example: 136","Room"
Clinical Summary,PatientQueryResponse,Header,Header.Document.ID,String,1,true,"","Your application's ID for the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.SetID,String,3,false,"When `SetID` is provided, `VersionNumber` is required.","An ID for the document that is common across all document revisions."
Clinical Summary,PatientQueryResponse,Header,Header.Document.VersionNumber,Number,3,false,"When `SetID` is provided, `VersionNumber` is required.     Used when superseding or modifying a prior version of the same document.     For example, this document might be `VersionNumber` 2, and it has a     `RelatesTo[].VersionNumber` 1, the prior version with the same `RelatesTo[].SetID`.","An integer version number for this revision of the document."
Clinical Summary,PatientQueryResponse,Header,Header.Document.RelatesTo[],Array of Objects,3,false,"","The identifiers for other documents related to this document, such as prior versions that this document replaces."
Clinical Summary,PatientQueryResponse,Header,Header.Document.RelatesTo[].Code,String,1,true,"FHIR [Document Relationship Type](http://hl7.org/fhir/document-relationship-type)    or CDA RelatedDocument TypeCode: `APND` (appends), `RPLC` (replaces), or `XFRM` (transforms).","A code for how the related document interacts with this document."
Clinical Summary,PatientQueryResponse,Header,Header.Document.RelatesTo[].ID,String,1,true,"","The ID of the related document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.RelatesTo[].SetID,String,3,false,"When `SetID` is provided, `VersionNumber` is required.","An ID for the document that is common across all document revisions."
Clinical Summary,PatientQueryResponse,Header,Header.Document.RelatesTo[].VersionNumber,Number,3,false,"When `SetID` is provided, `VersionNumber` is required.","An integer version number for the related revision of the document."
Clinical Summary,PatientQueryResponse,Header,Header.Document.Locale,String,1,true,"","The language of the document."
Clinical Summary,PatientQueryResponse,Header,Header.Document.Title,String,1,true,"","The title of the document."
Clinical Summary,PatientQueryResponse,Header,Header.Document.DateTime,String,1,true,"","The creation/publishing date/time of the document."
Clinical Summary,PatientQueryResponse,Header,Header.Document.Type,String,1,false,"This field is slated to be deprecated in favor of Header.Document.TypeCode.Name","The type of document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.TypeCode.Code,String,1,false,"[LOINC Document Type](https://www.hl7.org/fhir/valueset-c80-doc-typecodes.html)","A code describing the type of document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.TypeCode.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Document.TypeCode.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (LOINC preferred)"
Clinical Summary,PatientQueryResponse,Header,Header.Document.TypeCode.Name,String,1,false,"Summarization of Episode Note, Progress Note, etc.","Name of the type of document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Confidentiality.Code,String,1,false,"N (Normal), R (Restricted), V (Very Restricted)","A code describing intended disclosure of information contained within the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Confidentiality.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Document.Confidentiality.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Confidentiality.Name,String,1,false,"","Name of intended disclosure of information contained within the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian,Object,2,false,"","The organization or group responsible for the ongoing maintenance and access to the document"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Identifiers[],Array of Objects,2,false,"","List of IDs specific to this custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Identifiers[].ID,String,2,false,"","An ID specific to this custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Identifiers[].IDType,String,2,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Name,undefined,2,false,"","The name of the custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.Code,String,2,false,"","A code describing the kind of custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.Name,String,2,false,"","Name of the kind of custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the kind of custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.AltCodes[].Code,String,3,false,"","A code describing the kind of custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Type.AltCodes[].Name,String,3,false,"","Name of the kind of custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Address,Object,2,false,"","The address information for the custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Address.StreetAddress,String,2,false,"","Street address"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Address.City,String,2,false,"","City"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Address.State,String,2,false,"","State"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Address.ZIP,String,2,false,"","ZIP"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Address.County,String,3,false,"","County"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Address.Country,String,3,false,"","Country"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Telecom[],undefined,2,false,"","Phone, fax, email, or other communication numbers for the custodian organization"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Telecom[].Value,undefined,2,false,"","The phone number or telecommunications address"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Telecom[].Use,undefined,2,false,"","The purpose of this telecommunications address (e.g. home, work, direct)"
Clinical Summary,PatientQueryResponse,Header,Header.Document.Custodian.Telecom[].System,undefined,2,false,"[Supported Values](http://hl7.org/fhir/valueset-contact-point-system.html)","The form of this address (e.g. phone, email, fax)"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Identifiers[],Array of Objects,1,false,"","An array of identifiers for the patient."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Identifiers[].ID,String,1,true,"","The actual identifier for the patient."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Identifiers[].IDType,String,1,true,"","An ID type associated with identifier (Medical Record Number, etc.)"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Identifiers[].Type,String,1,false,"","If present, contains the same value as IDType. Provided for backwards compatibility with earlier versions of the API."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.FirstName,String,1,true,"","Patient's first name"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.MiddleName,String,2,false,"","Patient's middle name"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.LastName,String,1,true,"","Patient's last name"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.DOB,Date,1,true,"In [YYYY-MM-DD format](http://en.wikipedia.org/wiki/ISO_8601)","Patient's date of birth"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.SSN,String,1,false,"","Patient SSN"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Sex,String,1,true,"","Patient gender"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Address.StreetAddress,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Address.City,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Address.State,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Address.County,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Address.Country,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Address.ZIP,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.PhoneNumber.Home,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.PhoneNumber.Mobile,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.EmailAddresses[].Address,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Language,String,3,false,"In ISO 639-1 alpha values (e.g. 'en'). [Supported Values](http://www.loc.gov/standards/iso639-2/php/code_list.php)","Patient's primary spoken language"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Race,String,1,false,"","Patient's race - this is equivalent to the first RaceCodes[].Name"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.RaceCodes[].Code,String,2,false,"","A code describing the patient's race"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.RaceCodes[].CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.RaceCodes[].CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.RaceCodes[].Name,String,2,false,"","Name of the patient's race"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Ethnicity,String,1,false,"One of the following: Hispanic or latino, Not hispanic or latino, Refused to report, Unknown",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.EthnicGroupCodes[].Code,String,2,false,"","A code describing the patient's ethnicity"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.EthnicGroupCodes[].CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.EthnicGroupCodes[].CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.EthnicGroupCodes[].Name,String,2,false,"","Name of the patient's ethnicity"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.Religion,String,1,false,"Patient's religious affiliation",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.MaritalStatus,String,1,false,"",""
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.IsDeceased,Boolean,3,false,"","Indicates if the patient is deceased"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Demographics.DeathDateTime,DateTime,3,false,"[ISO 8601 Format](https://en.wikipedia.org/wiki/ISO_8601)","Date and Time the patient was proclaimed deceased."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization,Object,2,false,"","Organization that is the custodian of the patient record"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Identifiers[],Array of Objects,2,false,"","List of IDs specific to this organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Identifiers[].ID,String,2,false,"","An ID specific to this organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Identifiers[].IDType,String,2,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Name,undefined,2,false,"","The name of the organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.Code,String,2,false,"","A code describing the kind of organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.Name,String,2,false,"","Name of the kind of organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the kind of organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.AltCodes[].Code,String,3,false,"","A code describing the kind of organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Type.AltCodes[].Name,String,3,false,"","Name of the kind of organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Address,Object,2,false,"","The address information for the organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Address.StreetAddress,String,2,false,"","Street address"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Address.City,String,2,false,"","City"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Address.State,String,2,false,"","State"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Address.ZIP,String,2,false,"","ZIP"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Address.County,String,3,false,"","County"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Address.Country,String,3,false,"","Country"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Telecom[],undefined,2,false,"","Phone, fax, email, or other communication numbers for the organization"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Telecom[].Value,undefined,2,false,"","The phone number or telecommunications address"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Telecom[].Use,undefined,2,false,"","The purpose of this telecommunications address (e.g. home, work, direct)"
Clinical Summary,PatientQueryResponse,Header,Header.Patient.Organization.Telecom[].System,undefined,2,false,"[Supported Values](http://hl7.org/fhir/valueset-contact-point-system.html)","The form of this address (e.g. phone, email, fax)"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.ID,String,3,false,"This ID is often required for Inpatient Visits.","ID of the Primary Care Provider for the Patient"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.IDType,String,3,false,"","ID type of the ID for the Primary Care Provider for the Patient"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.FirstName,String,3,false,"","First name of the Primary Care Provider for the Patient"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.LastName,String,3,false,"","Last name of the Primary Care Provider for the Patient"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Credentials[],Array of Strings,3,false,"e.g. MD, PhD","List of credentials for the Primary Care Provider for the Patient"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Address,Object,3,false,"","Provider's address"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Address.StreetAddress,String,3,false,"","Street address"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Address.City,String,3,false,"","City"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Address.State,String,3,false,"","State"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Address.ZIP,String,3,false,"","ZIP"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Address.County,String,3,false,"","County"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Address.Country,String,3,false,"","Country"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.EmailAddresses[],Array of Strings,2,false,"","Provider's email address(es)"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.PhoneNumber.Office,String,3,false,"In E. 164 Format. (e.g. +16085551234)","Provider's office phone number"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Type,String,3,false,"","The type of Primary Care Provider for the Patient"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location,Object,3,false,"","Provider's location"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.Department,String,3,false,"","Department"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientQueryResponse,Header,Header.PCP.Location.Room,String,3,false,"Example: 136","Room"
Clinical Summary,PatientQueryResponse,AdvanceDirectives,AdvanceDirectivesText,String,2,false,"","Free text form of the advance directives summary"
Clinical Summary,PatientQueryResponse,AdvanceDirectives,AdvanceDirectives[],Array of Objects,2,false,"",""
Clinical Summary,PatientQueryResponse,AdvanceDirectives,AdvanceDirectives[].Type.Code,String,1,true,"SNOMED CT","A code describing the type of advance directive (such as resuscitation)"
Clinical Summary,PatientQueryResponse,AdvanceDirectives,AdvanceDirectives[].Type.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientQueryResponse,AdvanceDirectives,AdvanceDirectives[].Type.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientQueryResponse,AdvanceDirectives,AdvanceDirectives[].Type.Name,String,1,false,"","Name of the type of advance directive (such as resuscitation)"
